timestamp,topic,lag
2026-06-03 05:43:58.091262,queries,7
2026-06-03 05:43:58.091262,queries.retry,0
2026-06-03 05:43:58.091262,queries.dlq,0
2026-06-03 05:44:00.098639,queries,47
2026-06-03 05:44:00.098639,queries.retry,3
2026-06-03 05:44:00.098639,queries.dlq,0
2026-06-03 05:44:02.103399,queries,87
2026-06-03 05:44:02.103399,queries.retry,6
2026-06-03 05:44:02.103399,queries.dlq,0
2026-06-03 05:44:04.111978,queries,127
2026-06-03 05:44:04.111978,queries.retry,10
2026-06-03 05:44:04.111978,queries.dlq,0
2026-06-03 05:44:06.117644,queries,167
2026-06-03 05:44:06.117644,queries.retry,13
2026-06-03 05:44:06.117644,queries.dlq,0
2026-06-03 05:44:08.121244,queries,207
2026-06-03 05:44:08.121244,queries.retry,17
2026-06-03 05:44:08.121244,queries.dlq,0
2026-06-03 05:44:10.125789,queries,247
2026-06-03 05:44:10.125789,queries.retry,21
2026-06-03 05:44:10.125789,queries.dlq,0
2026-06-03 05:44:12.130397,queries,287
2026-06-03 05:44:12.130397,queries.retry,25
2026-06-03 05:44:12.130397,queries.dlq,0
2026-06-03 05:44:14.134050,queries,290
2026-06-03 05:44:14.134050,queries.retry,27
2026-06-03 05:44:14.134050,queries.dlq,0
2026-06-03 05:44:16.140336,queries,330
2026-06-03 05:44:16.140336,queries.retry,34
2026-06-03 05:44:16.140336,queries.dlq,1
2026-06-03 05:44:18.147163,queries,370
2026-06-03 05:44:18.147163,queries.retry,45
2026-06-03 05:44:18.147163,queries.dlq,1
2026-06-03 05:44:20.152203,queries,410
2026-06-03 05:44:20.152203,queries.retry,57
2026-06-03 05:44:20.152203,queries.dlq,1
2026-06-03 05:44:22.157450,queries,450
2026-06-03 05:44:22.157450,queries.retry,69
2026-06-03 05:44:22.157450,queries.dlq,1
2026-06-03 05:44:24.164803,queries,407
2026-06-03 05:44:24.164803,queries.retry,64
2026-06-03 05:44:24.164803,queries.dlq,1
2026-06-03 05:44:26.171014,queries,404
2026-06-03 05:44:26.171014,queries.retry,69
2026-06-03 05:44:26.171014,queries.dlq,1
2026-06-03 05:44:28.178167,queries,444
2026-06-03 05:44:28.178167,queries.retry,81
2026-06-03 05:44:28.178167,queries.dlq,1
2026-06-03 05:44:30.183690,queries,452
2026-06-03 05:44:30.183690,queries.retry,93
2026-06-03 05:44:30.183690,queries.dlq,2
2026-06-03 05:44:32.188313,queries,492
2026-06-03 05:44:32.188313,queries.retry,103
2026-06-03 05:44:32.188313,queries.dlq,2
2026-06-03 05:44:34.193872,queries,532
2026-06-03 05:44:34.193872,queries.retry,113
2026-06-03 05:44:34.193872,queries.dlq,2
2026-06-03 05:44:36.199379,queries,522
2026-06-03 05:44:36.199379,queries.retry,122
2026-06-03 05:44:36.199379,queries.dlq,4
2026-06-03 05:44:38.205280,queries,511
2026-06-03 05:44:38.205280,queries.retry,130
2026-06-03 05:44:38.205280,queries.dlq,4
2026-06-03 05:44:40.210818,queries,551
