escenario,procesadas,duracion_s,throughput_rps,lat_p50_ms,lat_p95_ms,lat_avg_ms,cache_hit_rate_%,reintentos,recuperadas,dlq,retry_rate_%,recovery_rate_%,dlq_rate_%,backlog_pico,recovery_time_s
01_base,2848,299.4,9.51,2.53,6.36,3.2,69.66,0,0,0,0.0,0.0,0.0,,
02_kafka_1consumer,5968,299.6,19.92,1.37,7.21,2.25,85.22,0,0,0,0.0,0.0,0.0,96.0,
03_kafka_3consumers,5969,299.7,19.92,1.35,7.19,2.25,85.16,0,0,0,0.0,0.0,0.0,94.0,
04_falla_temporal,5915,299.7,19.74,1.4,1288.22,157.72,85.07,114,4,54,1.93,3.51,0.91,170.0,
05_reintentos,5923,299.2,19.8,1.59,6406.05,987.21,85.62,509,290,45,8.59,56.97,0.76,293.0,
06_spike,6655,299.6,22.21,1.08,6.93,1.83,88.02,0,0,0,0.0,0.0,0.0,863.0,12.026326
07_recuperacion,5801,299.3,19.38,4020.15,75209.34,21309.18,87.54,1046,285,144,18.03,27.25,2.48,1514.0,
scaling_01_consumers,7677,329.8,23.28,120029.03,234113.08,120896.84,86.54,0,0,0,0.0,0.0,0.0,36736.0,
scaling_03_consumers,22932,329.8,69.53,71395.55,178491.42,80876.77,94.71,0,0,0,0.0,0.0,0.0,23363.0,
scaling_06_consumers,44040,320.8,137.27,11684.0,21701.37,12242.08,97.15,0,0,0,0.0,0.0,0.0,3045.0,50.205581
scaling_10_consumers,43785,299.9,146.01,25.88,2517.14,332.29,97.26,0,0,0,0.0,0.0,0.0,1628.0,292.775188
scaling_20_consumers,43840,299.7,146.27,1.02,101.05,149.98,97.23,0,0,0,0.0,0.0,0.0,1641.0,292.725502
