Distribucion,TTL,Cache,Politica,HR_Total,Q1_HR,Q1_Cnt,Q2_HR,Q2_Cnt,Q3_HR,Q3_Cnt,Q4_HR,Q4_Cnt,Q5_HR,Q5_Cnt,Avg_Lat,Throughput,Eviction_Rate
Uniforme,TTL_30,50mb,LRU,68.86,70.16,553,71.9,580,70.42,578,36.68,578,95.61,569,3.01,9.53,2.97
Uniforme,TTL_30,50mb,LFU,68.3,69.58,572,71.21,580,68.84,552,36.99,584,95.61,570,3.02,9.53,3.02
Uniforme,TTL_30,200mb,LRU,68.47,70.19,577,66.86,507,70.43,585,37.11,574,95.89,608,3.16,9.5,3.0
Uniforme,TTL_30,200mb,LFU,68.23,69.06,530,69.85,544,69.89,568,39.3,631,95.7,582,3.12,9.52,3.02
Uniforme,TTL_30,500mb,LRU,68.91,69.86,574,68.75,528,71.52,632,35.87,538,95.72,584,3.04,9.52,2.96
Uniforme,TTL_30,500mb,LFU,69.18,71.64,603,70.32,566,70.73,574,36.38,547,95.58,565,3.07,9.52,2.93
Uniforme,TTL_60,50mb,LRU,68.56,69.61,1109,68.77,1124,70.89,1161,36.92,1143,95.76,1178,3.01,19.05,5.99
Uniforme,TTL_60,50mb,LFU,68.68,70.05,561,70.42,578,72.12,599,34.77,558,95.55,562,3.01,9.53,2.98
Uniforme,TTL_60,200mb,LRU,69.13,70.47,579,68.84,552,69.54,545,39.9,579,95.85,602,3.04,9.52,2.94
Uniforme,TTL_60,200mb,LFU,68.85,69.7,561,70.67,583,70.32,556,35.84,558,95.81,596,3.11,9.51,2.96
Uniforme,TTL_60,500mb,LRU,69.21,71.21,594,70.71,594,71.53,590,36.67,540,95.37,540,3.03,9.53,2.93
Uniforme,TTL_60,500mb,LFU,69.0,68.55,550,70.37,567,68.75,560,39.58,571,95.9,610,3.03,9.53,2.95
Uniforme,TTL_90,50mb,LRU,68.57,70.28,599,69.23,559,70.77,561,35.6,559,95.7,582,2.99,9.53,3.0
Uniforme,TTL_90,50mb,LFU,67.82,69.09,592,69.59,592,67.97,562,36.7,575,94.92,591,3.16,9.71,3.12
Uniforme,TTL_90,200mb,LRU,75.13,77.85,578,76.91,550,77.74,566,47.19,587,96.54,578,2.88,9.53,2.37
Uniforme,TTL_90,200mb,LFU,74.83,77.68,578,76.88,571,78.23,611,43.54,542,96.42,558,2.84,9.53,2.4
Uniforme,TTL_90,500mb,LRU,74.56,77.89,588,78.17,591,76.18,550,46.27,590,96.29,539,2.9,9.53,2.42
Uniforme,TTL_90,500mb,LFU,74.73,75.52,527,78.15,595,77.33,591,44.94,563,96.58,585,2.82,9.54,2.41
ZIPF,TTL_30,50mb,LRU,57.04,57.5,593,56.28,581,54.14,543,25.89,560,91.12,563,3.56,9.47,4.07
ZIPF,TTL_30,50mb,LFU,56.25,55.69,580,56.25,576,53.36,551,25.39,575,91.56,557,3.58,9.46,4.14
ZIPF,TTL_30,200mb,LRU,56.78,57.26,592,53.83,535,54.93,548,25.9,583,91.74,581,3.59,9.46,4.09
ZIPF,TTL_30,200mb,LFU,55.81,55.28,568,54.31,545,55.44,579,24.83,592,91.19,556,3.57,9.47,4.18
ZIPF,TTL_30,500mb,LRU,56.5,55.03,567,58.05,584,51.47,511,25.93,594,91.67,588,3.49,9.48,4.12
ZIPF,TTL_30,500mb,LFU,56.79,55.94,581,55.3,566,54.82,560,24.46,552,91.6,583,3.5,9.47,4.09
ZIPF,TTL_60,50mb,LRU,68.97,69.89,548,70.65,569,70.64,579,37.89,578,95.7,581,3.08,9.52,2.95
ZIPF,TTL_60,50mb,LFU,68.43,69.02,552,69.22,523,69.84,567,37.48,595,95.93,614,3.17,9.5,3.0
ZIPF,TTL_60,200mb,LRU,68.77,69.62,553,71.07,598,71.05,601,35.36,543,95.52,558,3.14,9.51,2.97
ZIPF,TTL_60,200mb,LFU,68.97,70.89,553,69.33,564,70.15,546,38.16,587,95.85,602,3.16,9.51,2.95
ZIPF,TTL_60,500mb,LRU,68.66,69.75,552,71.29,599,70.44,548,37.09,585,95.61,569,3.13,9.51,2.98
ZIPF,TTL_60,500mb,LFU,68.93,71.99,607,70.27,582,69.94,539,36.43,560,95.57,564,3.14,9.51,2.95
ZIPF,TTL_90,50mb,LRU,69.44,70.28,562,71.36,604,71.24,591,38.77,552,95.44,548,3.05,9.52,2.91
ZIPF,TTL_90,50mb,LFU,67.45,68.6,621,68.31,587,68.47,593,36.6,571,94.8,577,3.21,9.83,3.2
ZIPF,TTL_90,200mb,LRU,68.86,69.67,544,70.59,561,71.0,607,35.86,555,95.7,581,3.23,9.49,2.96
ZIPF,TTL_90,200mb,LFU,70.25,71.6,514,72.5,560,72.87,586,39.15,562,96.28,538,3.0,9.2,2.74
ZIPF,TTL_90,500mb,LRU,68.85,69.71,558,70.93,578,69.86,564,35.97,556,95.8,595,3.16,9.5,2.96
ZIPF,TTL_90,500mb,LFU,69.48,70.96,582,70.07,558,70.36,560,38.5,561,95.81,596,3.04,9.52,2.91
