latitude,longitude,area_in_meters,confidence,zone_id
-33.41480588,-70.56911806,9.5411,0.6639,Z2
-33.49440864,-70.75129839,33.7485,0.678,Z3
-33.43238553,-70.72977613,33.8619,0.8074,Z5
-33.5397753,-70.78310153,67.6639,0.7758,Z3
-33.45119258,-70.66208907,606.5818,0.9413,Z4
-33.43930077,-70.76207724,86.8159,0.8078,Z5
-33.42345618,-70.54302603,241.9973,0.8575,Z2
-33.50809837,-70.77793891,39.2064,0.8156,Z3
-33.53974053,-70.78343875,112.1732,0.803,Z3
-33.51116978,-70.75269908,74.8341,0.7171,Z3
-33.43323849,-70.75290085,53.7886,0.8425,Z5
-33.53269082,-70.78184152,15.3589,0.7711,Z3
-33.51662989,-70.74394763,37.3435,0.7911,Z3
-33.54347376,-70.76934695,15.7939,0.753,Z3
-33.44190486,-70.75407657,19.0868,0.7155,Z5
-33.49959779,-70.77376449,18.1689,0.7932,Z3
-33.4882513,-70.77138978,41.9883,0.7421,Z3
-33.44829235,-70.75956654,265.2313,0.8569,Z5
-33.45396088,-70.76535058,133.2797,0.797,Z5
-33.39280892,-70.53968733,35.1828,0.6877,Z2
-33.41246091,-70.57715461,300.9073,0.8233,Z2
-33.51728519,-70.78968822,285.8165,0.8021,Z3
-33.42334423,-70.75204836,10.1441,0.6943,Z5
-33.43065144,-70.67924983,135.3874,0.7541,Z4
-33.39657308,-70.51335113,118.7153,0.8776,Z2
-33.46469772,-70.75686308,18.6806,0.7835,Z5
-33.51572214,-70.76829339,21.7143,0.6683,Z3
-33.5162203,-70.78385104,211.94,0.8325,Z3
-33.49609861,-70.76699499,25.1976,0.7184,Z3
-33.47664047,-70.75507041,125.7502,0.6935,Z5
-33.49619708,-70.74486881,74.3546,0.8349,Z3
-33.41411062,-70.55592104,20.5151,0.6576,Z2
-33.42226389,-70.54583613,65.3934,0.8304,Z2
-33.47169847,-70.75125046,39.06,0.7635,Z5
-33.54432432,-70.77204362,29.8612,0.7441,Z3
-33.50882973,-70.74927411,36.2276,0.7908,Z3
-33.51802639,-70.77941657,171.8951,0.8831,Z3
-33.53744385,-70.78692528,125.7431,0.783,Z3
-33.47953883,-70.74275371,31.8952,0.7567,Z5
-33.39935027,-70.55538615,7.1424,0.6865,Z2
-33.52147104,-70.76062833,13.0881,0.6606,Z3
-33.50409887,-70.7479523,18.505,0.7177,Z3
-33.43174494,-70.76857075,54.0254,0.6729,Z5
-33.44803522,-70.67191941,49.8951,0.7618,Z4
-33.4432694,-70.75113231,66.0819,0.8084,Z5
-33.43140645,-70.74639911,64.928,0.765,Z5
-33.50662356,-70.75067254,30.7463,0.801,Z3
-33.42670263,-70.58358553,44.6578,0.7649,Z1
